city,line,name
成都,1号线(五根松-韦家碾),孵化园
长春,1号线,解放大路
长春,1号线,东北师大
贵阳,1号线,贵阳火车站
西安,1号线,陕西中医药大学
无锡,S1线,中山公园
福州,1号线,屏山
成都,1号线(五根松-韦家碾),金融城
合肥,1号线,滨湖会展中心
福州,1号线,东街口
济南,1号线,园博园
南昌,1号线,滕王阁
武汉,1号线,循礼门
长沙,1号线,侯家塘
大连,1号线,中长街
南宁,1号线,会展中心
太原,2号线,体育馆
香港,东铁线(落馬洲-紅磡),大埔墟
石家庄,1号线,平安大街
郑州,1号线,西流湖
青岛,1号线,瑞金路
广州,1号线,杨箕
沈阳,1号线,铁西广场
南京,1号线,龙眠大道
苏州,1号线,广济南路
深圳,1号线/罗宝线,会展中心
佛山,南海有轨电车1号线,玉器街
哈尔滨,1号线,黑龙江大学
杭州,1号线,定安路
徐州,1号线,徐州火车站
长沙,1号线,南湖路
呼和浩特,1号线,新华广场
杭州,1号线,龙翔桥
昆明,1号线(环城南路-大学城南),南部汽车站
兰州,1号线,七里河
贵阳,1号线,河滨公园
宁波,1号线,邱隘东
天津,1号线,小白楼
重庆,1号线,歇台子
上海,1号线,一大会址·黄陂南路
北京,1号线八通线,八宝山
常州,1号线,外国语学校
香港,东铁线(落馬洲-紅磡),太和
厦门,1号线,吕厝
温州,S1线,奥体中心
乌鲁木齐,1号线,体育中心
洛阳,1号线,牡丹广场
东莞,2号线,旗峰公园
兰州,1号线,小西湖
哈尔滨,1号线,理工大学
大连,1号线,兴工街
南京,1号线,天印大道
南宁,1号线,金湖广场
郑州,1号线,西三环
香港,东铁线(落馬洲-紅磡),粉岭
南昌,1号线,万寿宫
青岛,1号线,遵义路
太原,2号线,南内环
长沙,1号线,黄土岭
济南,1号线,创新谷
呼和浩特,1号线,人民会堂
深圳,1号线/罗宝线,购物公园
广州,1号线,体育西路
佛山,南海有轨电车1号线,中区
沈阳,1号线,保工街
苏州,1号线,养育巷
合肥,1号线,高王
兰州,1号线,文化宫
石家庄,1号线,北国商城
武汉,1号线,友谊路
西安,1号线,沣河森林公园
无锡,S1线,江阴外滩
长春,1号线,工农广场
乌鲁木齐,1号线,铁路局
哈尔滨,1号线,学府路
大连,1号线,西安路
南宁,1号线,南湖
郑州,1号线,秦岭路
南京,1号线,竹山路
石家庄,1号线,博物院
香港,东铁线(落馬洲-紅磡),上水
福州,1号线,南门兜
成都,1号线(五根松-韦家碾),高新
乌鲁木齐,1号线,小西沟
徐州,1号线,子房山
香港,东铁线(落馬洲-紅磡),落马洲
徐州,1号线,铜山路
杭州,1号线,凤起路
香港,东铁线(羅湖-紅磡),金钟
常州,1号线,环球港
贵阳,1号线,中山西路
昆明,1号线(环城南路-大学城南),斗南
重庆,1号线,歇台子
宁波,1号线,东环南路
北京,1号线八通线,玉泉路
上海,1号线,人民广场
天津,1号线,下瓦房
石家庄,1号线,体育场
贵阳,1号线,喷水池
东莞,2号线,鸿福路
温州,S1线,永中
洛阳,1号线,七里河
厦门,1号线,乌石浦
石家庄,1号线,北宋
兰州,1号线,西关
苏州,1号线,乐桥
沈阳,1号线,启工街
合肥,1号线,骆岗
太原,2号线,王村南街
长沙,1号线,涂家冲
济南,1号线,工研院
深圳,1号线/罗宝线,香蜜湖
青岛,1号线,南岭
南昌,1号线,八一馆
广州,1号线,体育中心
呼和浩特,1号线,将军衙署
佛山,南海有轨电车1号线,三山新城北
长春,1号线,繁荣路
无锡,1号线,堰桥
武汉,1号线,利济北路
西安,1号线,北槐
温州,S1线,机场
南京,1号线,小龙湾
武汉,1号线,崇仁路
南宁,1号线,麻村
大连,1号线,富国街
哈尔滨,1号线,和兴路
郑州,1号线,五一公园
温州,S1线,灵昆
福州,1号线,茶亭
乌鲁木齐,1号线,中营工
成都,1号线(五根松-韦家碾),火车南站
武汉,1号线,硚口路
福州,1号线,达道
徐州,1号线,黄山垅
杭州,1号线,武林广场
乌鲁木齐,1号线,新疆图书馆
福州,1号线,上藤
香港,东铁线(羅湖-紅磡),会展
常州,1号线,新区公园
乌鲁木齐,1号线,八楼
昆明,1号线(环城南路-大学城南),春融街
天津,1号线,南楼
宁波,1号线,盛莫路
北京,1号线八通线,五棵松
重庆,1号线,石桥铺
上海,1号线,新闸路
福州,1号线,三叉街
贵阳,1号线,北京路
东莞,2号线,西平
太原,2号线,长风街
上海,1号线,汉中路
合肥,1号线,南站南广场
厦门,1号线,塘边
济南,2号线,王府庄
无锡,1号线,锡北运河
洛阳,1号线,王城公园
深圳,1号线/罗宝线,车公庙
西安,1号线,上林路
苏州,1号线,临顿路
南昌,1号线,八一广场
兰州,1号线,省政府
呼和浩特,1号线,艺术学院
青岛,1号线,兴国路
石家庄,1号线,谈固
佛山,南海有轨电车1号线,文翰湖公园(季华实验室)
长沙,1号线,铁道学院
长春,1号线,卫星广场
广州,1号线,广州东站
沈阳,1号线,重工街
南宁,1号线,民族广场
南京,1号线,百家湖
哈尔滨,1号线,西大桥
郑州,1号线,碧沙岗
大连,1号线,会展中心
长春,1号线,市政府
沈阳,1号线,迎宾路
温州,S1线,瓯江口
南京,1号线,胜太路
沈阳,1号线,于洪广场
成都,1号线(五根松-韦家碾),桐梓林
武汉,1号线,太平洋
南京,1号线,河定桥
杭州,1号线,西湖文化广场
徐州,1号线,庆丰路
沈阳,1号线,开发大道
南京,1号线,双龙大道
香港,东铁线(羅湖-紅磡),红磡
常州,1号线,河海
天津,1号线,土城
昆明,1号线(环城南路-大学城南),驼峰街
重庆,1号线,高庙村
北京,1号线八通线,万寿路
宁波,1号线,福庆北路
乌鲁木齐,1号线,王家梁
沈阳,1号线,张士
贵阳,1号线,八鸽岩
东莞,2号线,蛤地
福州,1号线,白湖亭
佛山,南海有轨电车1号线,三山新城南
石家庄,1号线,朝晖桥
南昌,1号线,丁公路北
呼和浩特,1号线,东影路
香港,东铁线(羅湖-紅磡),旺角东
太原,2号线,学府街
深圳,1号线/罗宝线,竹子林
合肥,1号线,合肥南站
广州,佛山2号线,广州南站
长沙,1号线,友谊路
济南,2号线,腊山南
青岛,1号线,永年路
苏州,1号线,相门
兰州,1号线,东方红广场
无锡,1号线,西漳
上海,1号线,上海火车站
洛阳,1号线,解放路
厦门,1号线,火炬园
西安,1号线,沣东自贸园
沈阳,1号线,四号街
呼和浩特,1号线,内蒙古展览馆
长春,1号线,华庆路
哈尔滨,1号线,哈工大
郑州,1号线,绿城广场
南宁,1号线,新民路
大连,1号线,星海广场
福州,1号线,葫芦阵
温州,S1线,瓯华
哈尔滨,1号线,铁路局
温州,S1线,双瓯大道
哈尔滨,1号线,博物馆
成都,1号线(五根松-韦家碾),倪家桥
徐州,1号线,医科大学
杭州,1号线,打铁关
武汉,1号线,宗关
温州,S2线,清东路
天津,1号线,陈塘庄
常州,1号线,奥体中心
哈尔滨,1号线,医大一院
南京,1号线,南京南站
兰州,1号线,兰州大学
贵阳,1号线,南垭路
重庆,1号线,马家岩
宁波,1号线,海晏北路
乌鲁木齐,1号线,南湖北路
北京,1号线八通线,公主坟
东莞,2号线,陈屋
南昌,1号线,师大南路
石家庄,1号线,白佛
佛山,南海有轨电车1号线,林岳北
昆明,1号线(环城南路-大学城南),联大街
北京,1号线八通线,军事博物馆
厦门,1号线,殿前
长沙,1号线,省政府·清风
济南,2号线,腊山
广州,佛山2号线,林岳东(2号线)
无锡,1号线,天一
深圳,1号线/罗宝线,侨城东
青岛,1号线,沧安路
上海,1号线,中山北路
太原,2号线,南中环
西安,1号线,后卫寨
沈阳,1号线,七号街
香港,东铁线(羅湖-紅磡),九龙塘
苏州,1号线,东环路
合肥,1号线,望湖城
洛阳,1号线,周王城广场
呼和浩特,1号线,内蒙古博物院
南宁,1号线,朝阳广场
郑州,1号线,医学院
大连,1号线,大医二院
长春,1号线,红嘴子
苏州,1号线,中央公园
福州,1号线,黄山
长春,2号线,汽车公园
东莞,2号线,寮厦
徐州,1号线,乔家湖
成都,1号线(五根松-韦家碾),省体育馆
合肥,1号线,葛大店
杭州,1号线,闸弄口
武汉,1号线,汉西一路
苏州,1号线,星海广场
郑州,1号线,郑州火车站
苏州,1号线,东方之门
呼和浩特,1号线,市政府
合肥,1号线,秋浦河路
南宁,1号线,火车站
大连,1号线,黑石礁
石家庄,1号线,留村
长春,2号线,捷达大路
佛山,南海有轨电车1号线,林岳西
哈尔滨,1号线,烟厂
佛山,南海有轨电车1号线,林岳东
兰州,1号线,五里铺
南昌,1号线,彭家桥
南京,1号线,花神庙
温州,S2线,旭阳路
常州,1号线,市民广场
乌鲁木齐,1号线,南湖广场
贵阳,1号线,雅关
宁波,1号线,世纪大道
天津,1号线,复兴门
重庆,1号线,小龙坎
长沙,1号线,桂花坪
兰州,1号线,省气象局
济南,2号线,二环西路
广州,佛山2号线,林岳西
青岛,1号线,青岛北站
北京,1号线八通线,木樨地
深圳,1号线/罗宝线,华侨城
无锡,1号线,刘潭
厦门,1号线,高崎
沈阳,1号线,中央大街
昆明,1号线(环城南路-大学城南),谊康南路
太原,2号线,晋阳街
香港,东铁线(羅湖-紅磡),大围
西安,1号线,三桥
